locality name,latitude,longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,price per sqft
Akshardham,28.5838692,77.0437467,3,Indian Restaurant,Print Store,Park,Advertising Agency,Monument,Pharmacy,Performing Arts Venue,North Indian Restaurant,Music Venue,Music Store,25000.0
Alaknanda,28.5253193,77.2546707,3,Market,Restaurant,Steakhouse,Chinese Restaurant,Advertising Agency,Moroccan Restaurant,Pharmacy,Performing Arts Venue,Park,North Indian Restaurant,16000.0
Alipur Village,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,4000.0
Anand Vihar,28.578617,77.1612321,1,Farm,Hotel,Chinese Restaurant,Advertising Agency,Motorcycle Dealership,Pizzeria,Pharmacy,Performing Arts Venue,Park,North Indian Restaurant,11284.0
Ashok Nagar,28.5890885,77.3015085,1,Hotel,Pizzeria,Asian Restaurant,Café,Indian Restaurant,Restaurant,American Restaurant,Performing Arts Venue,Park,North Indian Restaurant,13888.0
Ashok Vihar,28.6956326,77.1874885,3,Hotel Bar,Retail,Advertising Agency,Monument,Pharmacy,Performing Arts Venue,Park,North Indian Restaurant,Music Venue,Music Store,11900.0
Bankoli Village,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,3000.0
Bhalswa,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,2907.0
Bharat Vihar,28.5681531,77.2054264,4,Advertising Agency,Metro Station,Coffee Shop,Monument,Light Rail Station,Movie Theater,Pizzeria,Pharmacy,Performing Arts Venue,Park,6591.0
Budh Vihar,28.6341112,77.1433462,4,Fast Food Restaurant,Coffee Shop,Sandwich Spot,Movie Theater,Advertising Agency,Platform,Pharmacy,Performing Arts Venue,Park,North Indian Restaurant,3272.0
Burari,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,4550.0
Chanakyapuri,28.5946775,77.1885212,4,Performing Arts Venue,Hiking Trail,Advertising Agency,Monument,Pizzeria,Pharmacy,Park,North Indian Restaurant,Music Venue,Music Store,4000.0
Chatesar,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,5000.0
Chattarpur,28.5035711,77.1884511,4,Café,Food Court,Restaurant,Coffee Shop,Shopping Plaza,Advertising Agency,Pharmacy,Performing Arts Venue,Park,North Indian Restaurant,5250.0
Chattarpur Enclave Phase 2,28.5035711,77.1884511,4,Café,Food Court,Restaurant,Coffee Shop,Shopping Plaza,Advertising Agency,Pharmacy,Performing Arts Venue,Park,North Indian Restaurant,3200.0
Chirag Dilli,28.5874702,77.1693,4,Café,Park,Sandwich Spot,Bistro,Deli,Snack Place,Indian Restaurant,Plaza,North Indian Restaurant,Performing Arts Venue,6518.0
Civil Lines,28.689878,77.20989,3,Tea Room,Fast Food Restaurant,Men's Store,Fried Chicken Joint,Advertising Agency,Moroccan Restaurant,Pharmacy,Performing Arts Venue,Park,North Indian Restaurant,18990.0
Deenpur,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,5063.0
Defence Colony,28.5643603,77.2098719,3,Metro Station,Clothing Store,Breakfast Spot,Café,Pharmacy,Performing Arts Venue,Park,North Indian Restaurant,Motorcycle Dealership,Music Venue,33928.0
Dhul Siras,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,12442.0
Dilshad Garden,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,7800.0
Dwarka Mor,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,5750.0
East of Kailash,28.5558548,77.2488354,3,Playground,Fast Food Restaurant,Vegan and Vegetarian Restaurant,Indie Movie Theater,Department Store,Temple,Coffee Shop,Hot Dog Joint,Music Store,Mughlai Restaurant,21750.0
Fatehpur Beri,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,4017.0
Freedom Fighters Enclave,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,8333.0
Gharoli,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,10500.0
Greater Kailash,28.5555167,77.2634965,3,Indian Restaurant,Rail Station,Textiles Store,Spiritual Center,Advertising Agency,Monument,Performing Arts Venue,Park,North Indian Restaurant,Music Venue,21750.0
Greater Kailash 2,28.5504779,77.2341766,3,Indian Restaurant,Coffee Shop,Bistro,Dessert Shop,Sandwich Spot,Salad Restaurant,Cosmetics Store,Hotel,Ice Cream Parlor,Market,37250.0
Greater Kailash I,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,15610.0
Haiderpur,28.7256794,77.1438487,1,Hotel,Coffee Shop,Advertising Agency,Moroccan Restaurant,Pizzeria,Pharmacy,Performing Arts Venue,Park,North Indian Restaurant,Music Venue,8181.0
